dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,1.248148,ms,1248148.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1248148
1,dronet$dispatch_1_gemmini_q31_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,1.292268,ms,1292268.000000,0,,firesim,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,1292268
2,dronet$dispatch_2_gemmini_q31_batchnorm2d_s8_N1xC32xH27xW27,,,1.889196,ms,1889196.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=27;W=27,1889196
3,dronet$dispatch_3_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,0.265753,ms,265753.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,265753
4,dronet$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,0.112707,ms,112707.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,112707
5,dronet$dispatch_5_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.248942,ms,248942.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,248942
6,dronet$dispatch_6_gemmini_q31_add_s8_n6272,,,0.210239,ms,210239.000000,0,,firesim,add_s8,n=6272,210239
7,dronet$dispatch_7_gemmini_q31_batchnorm2d_s8_N1xC32xH14xW14,,,0.522849,ms,522849.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,522849
8,dronet$dispatch_8_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.088132,ms,88132.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,88132
9,dronet$dispatch_9_gemmini_q31_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,0.072918,ms,72918.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,72918
