dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,dronet$dispatch_0_rvv_x60_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,1.423458,ms,1423458.333333,0,,k1,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,34163,6,3.14,curated[rvv]/rvv_vsmul_vnclip
1,dronet$dispatch_1_rvv_x60_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,0.712292,ms,712291.666667,0,,k1,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,17095,6,1.76,curated[rvv]/direct
2,dronet$dispatch_2_rvv_x60_batchnorm2d_s8_N1xC32xH27xW27,,,0.030667,ms,30666.666667,0,,k1,batchnorm2d_s8,N=1;C=32;H=27;W=27,736,6,5.25,curated[rvv]/direct
3,dronet$dispatch_3_rvv_x60_conv2d_batchnorm2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,1.031208,ms,1031208.333333,0,,k1,conv2d_batchnorm2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,24749,6,2.09,curated[rvv]/rvv_oc_blocked_bn_epilogue
4,dronet$dispatch_4_rvv_x60_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,0.712667,ms,712666.666667,0,,k1,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,17104,6,1.99,curated[rvv]/rvv_vsmul_vnclip
5,dronet$dispatch_5_rvv_x60_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.194250,ms,194250.000000,0,,k1,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4662,6,9.06,curated[rvv]/rvv_vsmul_vnclip
6,dronet$dispatch_6_rvv_x60_add_s8_n6272,,,0.034167,ms,34166.666667,0,,k1,add_s8,n=6272,820,6,0.15,curated[rvv]/rvv_frm_rmm
7,dronet$dispatch_7_rvv_x60_batchnorm2d_s8_N1xC32xH14xW14,,,0.010833,ms,10833.333333,0,,k1,batchnorm2d_s8,N=1;C=32;H=14;W=14,260,6,4.52,curated[rvv]/direct
8,dronet$dispatch_8_rvv_x60_conv2d_batchnorm2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.325750,ms,325750.000000,0,,k1,conv2d_batchnorm2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,7818,6,7.53,curated[rvv]/rvv_oc_blocked_bn_epilogue
9,dronet$dispatch_9_rvv_x60_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,0.375083,ms,375083.333333,0,,k1,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,9002,6,3.34,curated[rvv]/rvv_vsmul_vnclip
10,dronet$dispatch_10_rvv_x60_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,0.073500,ms,73500.000000,0,,k1,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,1764,6,1.93,curated[rvv]/rvv_vsmul_vnclip
11,dronet$dispatch_11_rvv_x60_add_s8_n3136,,,0.016792,ms,16791.666667,0,,k1,add_s8,n=3136,403,6,0.95,curated[rvv]/rvv_frm_rmm
12,dronet$dispatch_12_rvv_x60_batchnorm2d_s8_N1xC64xH7xW7,,,0.006542,ms,6541.666667,0,,k1,batchnorm2d_s8,N=1;C=64;H=7;W=7,157,6,6.87,curated[rvv]/direct
13,dronet$dispatch_13_rvv_x60_conv2d_batchnorm2d_s8_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,0.413000,ms,413000.000000,0,,k1,conv2d_batchnorm2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,9912,6,0.78,curated[rvv]/rvv_oc_blocked_bn_epilogue
