dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,yolov8_nano_64x96$dispatch_0_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC3xIH64xIW96xOC16xOH32xOW48xKH3xKW3xSH2xSW2xPH1xPW1,,,1.204042,ms,1204041.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=3;IH=64;IW=96;OC=16;OH=32;OW=48;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,28897,6,1.22,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
1,yolov8_nano_64x96$dispatch_1_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH32xIW48xOC32xOH16xOW24xKH3xKW3xSH2xSW2xPH1xPW1,,,1.453583,ms,1453583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=32;IW=48;OC=32;OH=16;OW=24;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,34886,6,2.31,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
2,yolov8_nano_64x96$dispatch_2_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH16xIW24xOC32xOH16xOW24xKH1xKW1xSH1xSW1xPH0xPW0,,,0.904792,ms,904791.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,21715,6,4.84,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
4,yolov8_nano_64x96$dispatch_4_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH16xIW24xOC16xOH16xOW24xKH3xKW3xSH1xSW1xPH1xPW1,,,1.128625,ms,1128625.000000,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,27087,6,2.48,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
5,yolov8_nano_64x96$dispatch_5_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC16xIH16xIW24xOC16xOH16xOW24xKH3xKW3xSH1xSW1xPH1xPW1,,,1.116583,ms,1116583.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=16;IH=16;IW=24;OC=16;OH=16;OW=24;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,26798,6,1.79,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
6,yolov8_nano_64x96$dispatch_6_rvv_x60_add_s8_n6144,,,0.033125,ms,33125.000000,0,,k1,add_s8,n=6144,795,6,0.53,curated[rvv]/rvv_frm_rmm
7,yolov8_nano_64x96$dispatch_7_rvv_x60_cat3_c1_s8_N1xH16xW24xC_inputs16|16|16xC_total48,,,0.020125,ms,20125.000000,0,,k1,cat3_c1_s8,N=1;H=16;W=24;C_inputs=16|16|16;C_total=48,483,6,1.84,curated[rvv]/direct
8,yolov8_nano_64x96$dispatch_8_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC48xIH16xIW24xOC32xOH16xOW24xKH1xKW1xSH1xSW1xPH0xPW0,,,1.040167,ms,1040166.666667,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=48;IH=16;IW=24;OC=32;OH=16;OW=24;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,24964,6,0.11,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
9,yolov8_nano_64x96$dispatch_9_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC32xIH16xIW24xOC64xOH8xOW12xKH3xKW3xSH2xSW2xPH1xPW1,,,1.219208,ms,1219208.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=32;IH=16;IW=24;OC=64;OH=8;OW=12;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,29261,6,0.13,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
10,yolov8_nano_64x96$dispatch_10_rvv_x60_conv2d_batchnorm2d_silu_s8_N1xIC64xIH8xIW12xOC64xOH8xOW12xKH1xKW1xSH1xSW1xPH0xPW0,,,0.686958,ms,686958.333333,0,,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=8;IW=12;OC=64;OH=8;OW=12;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,16487,6,4.06,curated[rvv]/rvv_oc_blocked_bn_silu_epilogue
